worktree	head	branch	registration	path_state	locked	disposition
/tmp/cs-7.4b8bz	e8f858cbe754362f1b832dbbf885475ae5e0ff3b	codex/m7-testing-frontend	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8c	7e2dd88bd5f8d8d31e248d9e23be7efaac832b15	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ca	875581352a94f93a8ae904c375bc7bcaa5f8e049	codex/m7-testing-performance	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8cb	d6c4b629dac74576aba7ddd1360730d6343863cb	codex/m7-testing-verification-decomposition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8cc	070141a534ac18eb10b073ff20394add5d577d14	codex/m7-testing-acceptance-path	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8cd	dd75523d297bf10735375fe4f38c1700b2a1896f	codex/m7-testing-focused-design	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ce	407a2bd92dde1c3ff2097515ea357a6c4414c300	codex/m7-testing-organization	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8cf	7f560a3bca9112ce386460f34b583fe11b3d2bf4	codex/m7-testing-coverage-docs	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8cg	67e2d104bb992a159bdbfd6ba29a011af39a3cc0	codex/m7-testing-data-lifecycle	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ch	7929590ab73650031521d7b5b07106976ecc6266	codex/m7-testing-async-evidence	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ci	5a25d7c797d4931b58f5750c46caa69b77927d68	codex/m7-testing-gates-diagnosis	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8cj	547243590e9fe2a9e0d9037f5830b0f392a9274b	codex/m7-testing-source-closure	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8d	53a6bcf9429d8b08940e9182b409a34bb434c6b5	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8e	c6cb34ef375f3701a5058bf18e595090267db359	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8f	954aa77e8582d0ef75b8788d50642ff03e5ca912	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8g	c351b9d5808c1806165beb434e6a787c7141fc04	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8h	262e5a2ab59667894604cbe12e222b3a4aae1430	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8i	5b7adab6a1f054128b4683afc2cb0c79273edd6e	codex/standards-7.4b8i	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8j	3a870ba8890701ca614bb4f91139e4970f327d60	codex/standards-7.4b8j	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8k	4b4329f3f53c78aad6d67bb20890b42d9a63db5e	codex/standards-7.4b8k	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8l-acceleration	5ba38d54f8dc3c3277752baf3534d188c4404c46	codex/m7-accelerated-replan	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8m-decision-table	e9016aa5514e1abac8ec81a08358627351d6dfc8	codex/m7-decision-table-foundation	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8n-row5	759d836dc4eeb334b956b40a9da2ba6655ff77ed	codex/m7-row5-decomposition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8o-core-adapter	9f0a2622bad2e8c76ad7935e8b3c6b4ce471a7eb	codex/m7-rust-core-adapter-testability	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8p-mechanism	d61a98e8b9e69dea9ff8e4d48652f82190ea067d	codex/m7-binding-mechanism-selection	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8q-evolution	34a8dc47b37e8f5804112f6c9c32e4f57b1ac4ae	codex/m7-binding-contract-evolution	prunable	missing	no	candidate-prune-registration
